,track_name,artist,genre,playlist_category,danceability,energy,valence,tempo,duration_ms,popularity,cluster,cluster_name
1691,Night Sky,Artist_477,Classical,Chill,0.503,0.571,0.741,115.02,287533,95,1,Happy Long Tracks
1692,Beat Wave,Artist_461,Hip-Hop,Focus,0.399,0.772,0.285,101.73,252065,8,2,Sad Long Tracks
1693,Love Sky Light,Artist_216,EDM,Chill,0.146,0.928,0.379,150.15,198801,54,4,Fast Short Tracks
1694,Dance Night,Artist_252,Jazz,Travel,0.368,0.261,0.199,74.16,306017,53,2,Sad Long Tracks
1695,Fire Beat Dream,Artist_247,Rock,Workout,0.068,0.335,0.971,126.93,329095,20,1,Happy Long Tracks
1696,Night Dream Beat,Artist_407,Indie,Focus,0.026,0.464,0.517,106.82,142172,46,4,Fast Short Tracks
1697,Wave Night,Artist_140,Bollywood,Sleep,0.135,0.927,0.896,183.78,298780,93,1,Happy Long Tracks
1698,Sky Night Love,Artist_94,Indie,Romantic,0.963,0.901,0.346,70.28,197368,31,0,Chill Danceable (Slow Tempo)
1699,Night Sky,Artist_106,Pop,Sleep,0.55,0.09,0.861,176.16,247070,85,3,Fast Danceable (High Tempo)
1700,Love Dance Dream,Artist_320,Country,Chill,0.966,0.132,0.054,83.48,189563,26,0,Chill Danceable (Slow Tempo)
1701,Love Beat,Artist_108,EDM,Focus,0.432,0.496,0.982,72.4,185296,95,1,Happy Long Tracks
1702,Dream Heart Beat,Artist_163,Bollywood,Party,0.312,0.107,0.912,88.33,316623,63,1,Happy Long Tracks
1703,Light Dance,Artist_358,Indie,Romantic,0.506,0.346,0.363,74.37,246098,20,2,Sad Long Tracks
1704,Beat Wave Night,Artist_136,EDM,Chill,0.44,0.148,0.775,132.94,249593,22,1,Happy Long Tracks
1705,Love Beat,Artist_112,Rock,Focus,0.106,0.636,0.752,198.35,144122,57,4,Fast Short Tracks
1706,Night Light Heart,Artist_467,Pop,Party,0.641,0.949,0.901,64.81,79225,57,0,Chill Danceable (Slow Tempo)
1707,Sky Beat Love,Artist_386,EDM,Focus,0.216,0.997,0.307,124.56,355182,26,2,Sad Long Tracks
1708,Heart Light,Artist_118,Bollywood,Workout,0.62,0.375,0.466,114.05,286812,17,3,Fast Danceable (High Tempo)
1709,Night Dance Sky,Artist_420,Jazz,Workout,0.65,0.599,0.865,107.54,311269,89,1,Happy Long Tracks
1710,Dream Light,Artist_328,Bollywood,Workout,0.152,0.856,0.779,106.46,307453,27,1,Happy Long Tracks
1711,Beat Fire,Artist_451,Indie,Workout,0.061,0.117,0.393,185.3,153965,67,4,Fast Short Tracks
1712,Beat Night Heart,Artist_234,Pop,Focus,0.781,0.69,0.846,62.66,146914,56,0,Chill Danceable (Slow Tempo)
1713,Night Dance Fire,Artist_100,Classical,Travel,0.46,0.409,0.047,168.49,312840,24,2,Sad Long Tracks
1714,Love Fire,Artist_375,Classical,Romantic,0.058,0.206,0.782,95.41,255548,25,1,Happy Long Tracks
1715,Wave Fire,Artist_404,Indie,Travel,0.995,0.403,0.207,113.66,69294,10,0,Chill Danceable (Slow Tempo)
1716,Beat Night Sky,Artist_69,Indie,Sleep,0.058,0.076,0.286,118.82,60750,36,4,Fast Short Tracks
1717,Light Dance Love,Artist_367,Indie,Focus,0.695,0.695,0.493,102.66,215195,82,0,Chill Danceable (Slow Tempo)
1718,Heart Love,Artist_226,Rock,Focus,0.984,0.253,0.45,73.1,168863,45,0,Chill Danceable (Slow Tempo)
1719,Love Beat Night,Artist_267,Classical,Party,0.239,0.311,0.521,76.01,102732,17,0,Chill Danceable (Slow Tempo)
1720,Light Dance,Artist_494,Pop,Workout,0.142,0.121,0.545,101.74,285867,78,1,Happy Long Tracks
1721,Wave Fire,Artist_111,EDM,Workout,0.121,0.865,0.332,175.05,303505,58,2,Sad Long Tracks
1722,Love Dream,Artist_312,Indie,Romantic,0.303,0.493,0.175,78.85,235302,83,2,Sad Long Tracks
1723,Love Dance Wave,Artist_215,Indie,Travel,0.101,0.572,0.768,163.97,203464,82,4,Fast Short Tracks
1724,Dream Love,Artist_395,Pop,Focus,0.692,0.569,0.4,100.44,178553,23,0,Chill Danceable (Slow Tempo)
1725,Love Sky,Artist_383,Hip-Hop,Workout,0.062,0.41,0.506,183.69,232538,8,4,Fast Short Tracks
1726,Dance Dream,Artist_297,EDM,Workout,0.509,0.193,0.645,119.97,248637,50,1,Happy Long Tracks
1727,Night Wave,Artist_96,Pop,Romantic,0.997,0.745,0.91,84.04,75386,16,0,Chill Danceable (Slow Tempo)
1728,Wave Fire Night,Artist_41,Rock,Chill,0.814,0.127,0.708,198.02,312576,89,3,Fast Danceable (High Tempo)
1729,Beat Heart,Artist_423,EDM,Chill,0.615,0.104,0.045,84.73,350966,43,2,Sad Long Tracks
1730,Heart Night Dream,Artist_491,EDM,Party,0.306,0.71,0.839,139.47,164620,96,1,Happy Long Tracks
1731,Fire Love Dream,Artist_177,Classical,Travel,0.624,0.209,0.989,139.7,334275,83,1,Happy Long Tracks
1732,Night Wave Sky,Artist_62,Classical,Travel,0.527,0.307,0.472,112.19,249394,82,2,Sad Long Tracks
1733,Beat Dream,Artist_22,Classical,Travel,0.426,0.475,0.97,193.21,263561,96,3,Fast Danceable (High Tempo)
1734,Light Dream Dance,Artist_7,Pop,Sleep,0.131,0.449,0.547,178.14,142540,46,4,Fast Short Tracks
1735,Wave Love,Artist_71,Country,Focus,0.887,0.709,0.46,176.17,243689,49,3,Fast Danceable (High Tempo)
1736,Night Beat,Artist_195,EDM,Focus,0.45,0.623,0.331,196.38,230030,15,4,Fast Short Tracks
1737,Love Dance,Artist_1,Indie,Travel,0.195,0.644,0.658,124.0,245638,49,1,Happy Long Tracks
1738,Love Wave,Artist_251,EDM,Sleep,0.368,0.714,0.23,73.61,102797,21,0,Chill Danceable (Slow Tempo)
1739,Night Sky,Artist_226,Hip-Hop,Workout,0.414,0.293,0.105,167.16,266360,75,2,Sad Long Tracks
1740,Dance Dream Fire,Artist_388,EDM,Romantic,0.828,0.322,0.027,113.31,319665,93,2,Sad Long Tracks
1741,Sky Light,Artist_85,Bollywood,Workout,0.734,0.438,0.292,86.65,230553,96,0,Chill Danceable (Slow Tempo)
1742,Beat Fire Dream,Artist_35,Jazz,Focus,0.769,0.307,0.396,127.65,311176,6,3,Fast Danceable (High Tempo)
1743,Wave Dream,Artist_132,Indie,Workout,0.011,0.985,0.552,189.6,302260,55,4,Fast Short Tracks
1744,Wave Night Sky,Artist_100,Classical,Workout,0.416,0.814,0.293,83.99,88897,83,0,Chill Danceable (Slow Tempo)
1745,Beat Love Fire,Artist_458,Classical,Romantic,0.481,0.165,0.984,178.82,121988,80,4,Fast Short Tracks
1746,Night Light,Artist_322,Country,Party,0.019,0.006,0.292,118.55,211925,76,2,Sad Long Tracks
1747,Wave Heart,Artist_321,Classical,Sleep,0.26,0.043,0.441,79.15,181444,15,2,Sad Long Tracks
1748,Dance Fire,Artist_129,EDM,Chill,0.76,0.244,0.103,178.77,189677,11,3,Fast Danceable (High Tempo)
1749,Love Fire Night,Artist_489,EDM,Sleep,0.137,0.114,0.261,195.75,355939,39,2,Sad Long Tracks
1750,Dance Wave,Artist_357,EDM,Focus,0.535,0.533,0.048,100.78,184865,74,2,Sad Long Tracks
1751,Dream Love,Artist_268,Indie,Workout,0.215,0.858,0.56,102.5,134560,51,4,Fast Short Tracks
1752,Heart Sky,Artist_198,Bollywood,Workout,0.012,0.737,0.751,114.68,251002,37,1,Happy Long Tracks
1753,Beat Sky,Artist_490,Bollywood,Focus,0.241,0.216,0.196,173.98,329944,49,2,Sad Long Tracks
1754,Wave Dance Love,Artist_450,Jazz,Workout,0.976,0.399,0.368,61.46,208844,57,0,Chill Danceable (Slow Tempo)
1755,Love Light,Artist_292,Jazz,Sleep,0.802,0.508,0.017,91.35,110064,88,0,Chill Danceable (Slow Tempo)
1756,Dream Love,Artist_342,EDM,Workout,0.96,0.81,0.84,158.83,133208,65,0,Chill Danceable (Slow Tempo)
1757,Light Night Wave,Artist_404,Classical,Workout,0.488,0.839,0.78,116.79,282972,17,1,Happy Long Tracks
1758,Dance Heart,Artist_196,Hip-Hop,Workout,0.11,0.91,0.063,106.24,264651,63,2,Sad Long Tracks
1759,Fire Heart Wave,Artist_498,Pop,Chill,0.548,0.509,0.365,182.12,261800,14,3,Fast Danceable (High Tempo)
1760,Heart Fire,Artist_405,EDM,Sleep,0.454,0.694,0.955,188.43,144753,38,4,Fast Short Tracks
1761,Fire Beat,Artist_475,Pop,Chill,0.844,0.112,0.392,192.72,188863,25,3,Fast Danceable (High Tempo)
1762,Beat Fire,Artist_426,EDM,Chill,0.098,0.565,0.526,98.16,111239,37,4,Fast Short Tracks
1763,Dance Wave,Artist_176,Jazz,Travel,0.488,0.249,0.355,187.75,124567,99,4,Fast Short Tracks
1764,Beat Dream,Artist_111,Pop,Workout,0.15,0.432,0.596,163.18,296404,86,1,Happy Long Tracks
1765,Wave Dance,Artist_448,Indie,Chill,0.325,0.634,0.978,81.59,152904,56,1,Happy Long Tracks
1766,Beat Heart,Artist_255,Hip-Hop,Travel,0.737,0.257,0.998,145.44,105621,7,4,Fast Short Tracks
1767,Dance Fire,Artist_35,Indie,Focus,0.476,0.052,0.775,63.69,105357,11,0,Chill Danceable (Slow Tempo)
1768,Sky Fire Heart,Artist_185,Indie,Romantic,0.376,0.01,0.404,159.17,356636,74,3,Fast Danceable (High Tempo)
1769,Love Wave,Artist_463,Hip-Hop,Sleep,0.394,0.022,0.494,162.7,255521,78,3,Fast Danceable (High Tempo)
1770,Dream Night Dance,Artist_183,Country,Chill,0.459,0.008,0.357,170.51,331269,35,3,Fast Danceable (High Tempo)
1771,Beat Dream Heart,Artist_244,Hip-Hop,Sleep,0.785,0.11,0.986,84.15,215651,36,1,Happy Long Tracks
1772,Sky Dream,Artist_128,Indie,Romantic,0.892,0.239,0.708,147.95,356196,70,3,Fast Danceable (High Tempo)
1773,Wave Light,Artist_58,Bollywood,Workout,0.955,0.221,0.449,85.04,146896,52,0,Chill Danceable (Slow Tempo)
1774,Night Beat,Artist_497,EDM,Party,0.787,0.987,0.012,192.53,301188,69,3,Fast Danceable (High Tempo)
1775,Fire Dance Light,Artist_14,Country,Workout,0.315,0.306,0.52,154.5,89081,42,4,Fast Short Tracks
1776,Love Beat Fire,Artist_183,Country,Sleep,0.688,0.127,0.984,73.35,172362,71,0,Chill Danceable (Slow Tempo)
1777,Heart Beat,Artist_93,Indie,Travel,0.438,0.546,0.523,86.18,287592,15,1,Happy Long Tracks
1778,Wave Dream,Artist_3,Pop,Workout,0.255,0.858,0.182,152.88,66158,21,4,Fast Short Tracks
1779,Beat Love,Artist_287,Country,Workout,0.841,0.678,0.022,126.73,346807,82,3,Fast Danceable (High Tempo)
1780,Dance Light,Artist_291,Classical,Sleep,0.038,0.296,0.355,163.08,203458,1,4,Fast Short Tracks
1781,Beat Light,Artist_287,Hip-Hop,Workout,0.902,0.562,0.918,99.31,322360,68,1,Happy Long Tracks
1782,Dance Night Wave,Artist_100,Bollywood,Sleep,0.461,0.715,0.997,152.11,89910,11,4,Fast Short Tracks
1783,Fire Night Love,Artist_34,Bollywood,Romantic,0.637,0.728,0.945,84.77,307493,10,1,Happy Long Tracks
1784,Fire Dream Heart,Artist_285,Pop,Workout,0.659,0.667,0.729,136.12,226482,45,3,Fast Danceable (High Tempo)
1785,Fire Night Love,Artist_233,Jazz,Travel,0.895,0.871,0.558,194.09,300798,56,3,Fast Danceable (High Tempo)
1786,Sky Dream Dance,Artist_114,Bollywood,Focus,0.637,0.87,0.591,147.95,344901,19,3,Fast Danceable (High Tempo)
1787,Dance Wave,Artist_16,Bollywood,Romantic,0.614,0.579,0.539,67.0,251722,42,0,Chill Danceable (Slow Tempo)
1788,Beat Dream,Artist_341,Country,Chill,0.067,0.43,0.707,198.43,349567,94,1,Happy Long Tracks
1789,Dance Love Night,Artist_415,Pop,Sleep,0.518,0.642,0.419,81.96,161659,41,0,Chill Danceable (Slow Tempo)
1790,Heart Light Love,Artist_291,Hip-Hop,Party,0.15,0.818,0.669,160.53,88742,20,4,Fast Short Tracks
1791,Beat Sky Fire,Artist_186,Indie,Travel,0.737,0.006,0.122,134.55,305239,27,3,Fast Danceable (High Tempo)
1792,Wave Heart,Artist_27,Bollywood,Romantic,0.512,0.992,0.266,101.21,223939,12,2,Sad Long Tracks
1793,Light Heart,Artist_244,Classical,Workout,0.68,0.183,0.836,84.82,339127,78,1,Happy Long Tracks
1794,Night Beat,Artist_319,Classical,Workout,0.042,0.47,0.904,84.88,347579,98,1,Happy Long Tracks
1795,Dance Love Heart,Artist_108,Country,Sleep,0.085,0.872,0.539,180.18,344312,64,2,Sad Long Tracks
1796,Dream Light Night,Artist_431,Hip-Hop,Focus,0.716,0.225,0.032,182.21,173795,38,3,Fast Danceable (High Tempo)
1797,Dream Heart,Artist_120,Classical,Focus,0.072,0.477,0.927,125.12,349401,66,1,Happy Long Tracks
1798,Light Night,Artist_240,Jazz,Focus,0.071,0.133,0.702,74.51,141475,58,1,Happy Long Tracks
1799,Wave Fire Light,Artist_231,EDM,Romantic,0.012,0.395,0.414,183.78,214636,96,4,Fast Short Tracks
1800,Heart Sky Beat,Artist_436,Pop,Romantic,0.957,0.177,0.598,128.18,103200,82,0,Chill Danceable (Slow Tempo)
1801,Love Night Heart,Artist_425,Pop,Focus,0.738,0.364,0.43,121.43,183873,85,0,Chill Danceable (Slow Tempo)
1802,Dance Wave Night,Artist_464,Indie,Sleep,0.353,0.373,0.465,117.03,96678,11,4,Fast Short Tracks
1803,Light Wave Sky,Artist_117,Bollywood,Workout,0.297,0.993,0.887,111.1,333917,30,1,Happy Long Tracks
1804,Wave Heart Night,Artist_54,Rock,Workout,0.35,0.995,0.161,133.64,204406,64,2,Sad Long Tracks
1805,Dance Night,Artist_67,Bollywood,Sleep,0.775,0.115,0.104,144.64,88701,83,0,Chill Danceable (Slow Tempo)
1806,Beat Dream,Artist_314,EDM,Workout,0.661,0.726,0.003,125.3,139468,48,0,Chill Danceable (Slow Tempo)
1807,Night Wave Dream,Artist_244,Jazz,Party,0.185,0.052,0.314,185.53,108528,40,4,Fast Short Tracks
1808,Night Dream Dance,Artist_99,Indie,Romantic,0.174,0.03,0.147,104.47,61376,94,4,Fast Short Tracks
1809,Fire Light,Artist_456,Indie,Party,0.098,0.105,0.22,140.96,281755,99,2,Sad Long Tracks
1810,Sky Beat,Artist_485,Indie,Workout,0.66,0.965,0.011,101.99,184395,68,2,Sad Long Tracks
1811,Dance Heart,Artist_141,Country,Workout,0.764,0.941,0.227,165.47,277651,21,3,Fast Danceable (High Tempo)
1812,Dance Love Sky,Artist_482,Classical,Sleep,0.265,0.194,0.333,74.3,287871,5,2,Sad Long Tracks
1813,Night Love,Artist_44,Hip-Hop,Sleep,0.021,0.162,0.032,86.42,126261,36,2,Sad Long Tracks
1814,Light Heart,Artist_380,Classical,Sleep,0.082,0.241,0.608,172.17,253288,91,4,Fast Short Tracks
1815,Wave Heart Light,Artist_160,Indie,Focus,0.968,0.516,0.569,85.65,240305,7,0,Chill Danceable (Slow Tempo)
1816,Wave Light Dance,Artist_265,Rock,Chill,0.295,0.57,0.097,147.6,251527,60,2,Sad Long Tracks
1817,Sky Dream Wave,Artist_175,Bollywood,Sleep,0.769,0.222,0.595,195.83,288570,56,3,Fast Danceable (High Tempo)
1818,Sky Fire,Artist_27,Classical,Chill,0.625,0.757,0.999,133.2,235050,31,1,Happy Long Tracks
1819,Heart Sky Love,Artist_458,Rock,Romantic,0.382,0.31,0.944,86.24,154079,84,1,Happy Long Tracks
1820,Heart Sky,Artist_393,Rock,Chill,0.206,0.922,0.003,104.9,354555,25,2,Sad Long Tracks
1821,Dream Wave Sky,Artist_82,Bollywood,Travel,0.121,0.657,0.795,175.28,286993,56,1,Happy Long Tracks
1822,Dream Wave,Artist_351,Jazz,Chill,0.615,0.436,0.354,109.23,197745,89,0,Chill Danceable (Slow Tempo)
1823,Fire Night,Artist_354,Bollywood,Party,0.775,0.79,0.064,161.29,344300,81,3,Fast Danceable (High Tempo)
1824,Heart Dream,Artist_233,EDM,Workout,0.644,0.818,0.296,168.83,89856,79,4,Fast Short Tracks
1825,Sky Heart Dream,Artist_343,Pop,Romantic,0.53,0.29,0.322,130.17,186677,74,0,Chill Danceable (Slow Tempo)
1826,Light Love,Artist_468,Indie,Focus,0.042,0.34,0.523,169.65,357893,34,2,Sad Long Tracks
1827,Heart Dream Wave,Artist_192,Hip-Hop,Party,0.968,0.936,0.661,104.37,88421,44,0,Chill Danceable (Slow Tempo)
1828,Light Dream Sky,Artist_311,EDM,Sleep,0.799,0.165,0.749,132.26,213312,7,3,Fast Danceable (High Tempo)
1829,Love Beat,Artist_328,Hip-Hop,Chill,0.293,0.042,0.246,156.12,242605,51,2,Sad Long Tracks
1830,Dream Dance Heart,Artist_425,EDM,Romantic,0.98,0.454,0.322,83.53,133775,25,0,Chill Danceable (Slow Tempo)
1831,Love Light,Artist_459,Pop,Party,0.602,0.801,0.308,98.31,347182,28,2,Sad Long Tracks
1832,Sky Dance Wave,Artist_357,Rock,Romantic,0.582,0.772,0.363,151.29,264342,42,3,Fast Danceable (High Tempo)
1833,Wave Dance,Artist_14,Bollywood,Travel,0.748,0.92,1.0,151.75,346449,27,3,Fast Danceable (High Tempo)
1834,Night Dance Love,Artist_270,Rock,Focus,0.812,0.533,0.778,129.06,307553,37,3,Fast Danceable (High Tempo)
1835,Light Night,Artist_77,EDM,Workout,0.656,0.1,0.975,171.38,101993,55,4,Fast Short Tracks
1836,Love Beat Fire,Artist_211,Bollywood,Focus,0.128,0.589,0.693,127.49,100193,38,4,Fast Short Tracks
1837,Heart Night Wave,Artist_279,Indie,Focus,0.338,0.778,0.406,183.39,316961,56,3,Fast Danceable (High Tempo)
1838,Wave Fire,Artist_367,Country,Chill,0.928,0.093,0.39,163.03,226614,92,3,Fast Danceable (High Tempo)
1839,Sky Fire,Artist_10,Pop,Workout,0.225,0.173,0.489,104.06,93243,34,4,Fast Short Tracks
1840,Night Light,Artist_1,Indie,Workout,0.372,0.012,0.417,115.34,182192,29,4,Fast Short Tracks
1841,Night Light Beat,Artist_312,Country,Sleep,0.432,0.594,0.828,153.48,202003,48,1,Happy Long Tracks
1842,Dance Heart,Artist_31,Hip-Hop,Focus,0.439,0.887,0.465,185.22,80967,72,4,Fast Short Tracks
1843,Heart Beat,Artist_242,Jazz,Workout,0.613,0.671,0.296,85.02,254347,77,2,Sad Long Tracks
1844,Beat Heart,Artist_78,Pop,Sleep,0.943,0.982,0.775,132.05,299393,46,3,Fast Danceable (High Tempo)
1845,Heart Love Sky,Artist_89,Indie,Sleep,0.241,0.063,0.854,76.63,253608,37,1,Happy Long Tracks
1846,Heart Sky Dance,Artist_15,Pop,Chill,0.122,0.903,0.42,99.12,117040,3,4,Fast Short Tracks
1847,Fire Dance,Artist_288,Pop,Sleep,0.197,0.814,0.668,156.04,65023,78,4,Fast Short Tracks
1848,Dance Sky Dream,Artist_336,Country,Party,0.887,0.314,0.059,70.88,286308,96,0,Chill Danceable (Slow Tempo)
1849,Beat Dream Night,Artist_322,Rock,Party,0.646,0.974,0.529,152.73,279352,87,3,Fast Danceable (High Tempo)
1850,Fire Sky,Artist_245,Jazz,Sleep,0.286,0.288,0.045,186.11,171829,87,4,Fast Short Tracks
1851,Light Heart Night,Artist_44,Jazz,Party,0.816,0.889,0.029,195.71,143268,77,3,Fast Danceable (High Tempo)
1852,Night Love Beat,Artist_447,Classical,Sleep,0.861,0.881,0.613,90.33,266885,50,0,Chill Danceable (Slow Tempo)
1853,Beat Dream Dance,Artist_81,Pop,Sleep,0.847,0.758,0.303,164.85,327144,21,3,Fast Danceable (High Tempo)
1854,Fire Dream,Artist_484,Hip-Hop,Romantic,0.919,0.563,0.743,189.69,89756,48,4,Fast Short Tracks
1855,Sky Light Dance,Artist_386,Jazz,Focus,0.252,0.12,0.896,72.79,97982,58,1,Happy Long Tracks
1856,Sky Wave,Artist_63,Indie,Party,0.755,0.532,0.139,117.96,320328,31,2,Sad Long Tracks
1857,Light Dance Fire,Artist_268,Classical,Party,0.461,0.357,0.725,188.72,204931,7,4,Fast Short Tracks
1858,Love Dream,Artist_300,Jazz,Workout,0.842,0.792,0.515,88.39,113760,57,0,Chill Danceable (Slow Tempo)
1859,Sky Dance Night,Artist_433,Hip-Hop,Chill,0.728,0.758,0.112,190.73,71734,36,4,Fast Short Tracks
1860,Beat Dream Dance,Artist_386,Bollywood,Travel,0.776,0.911,0.652,133.81,320310,83,3,Fast Danceable (High Tempo)
1861,Love Night,Artist_500,Hip-Hop,Party,0.656,0.015,0.609,73.99,275438,86,1,Happy Long Tracks
1862,Dance Night Heart,Artist_143,Classical,Travel,0.177,0.809,0.516,122.98,144997,24,4,Fast Short Tracks
1863,Wave Beat Sky,Artist_178,Classical,Chill,0.545,0.938,0.926,105.68,147975,24,1,Happy Long Tracks
1864,Night Heart Love,Artist_93,Rock,Travel,0.985,0.789,0.521,99.51,255664,56,0,Chill Danceable (Slow Tempo)
1865,Dream Love Wave,Artist_126,Country,Workout,0.937,0.13,0.991,135.81,70428,85,0,Chill Danceable (Slow Tempo)
1866,Dance Dream Heart,Artist_306,Pop,Sleep,0.043,0.081,0.509,127.7,233718,61,1,Happy Long Tracks
1867,Love Sky,Artist_330,Rock,Romantic,0.165,0.021,0.116,127.48,81139,77,4,Fast Short Tracks
1868,Beat Heart Love,Artist_359,Bollywood,Travel,0.132,0.629,0.47,72.34,268923,70,2,Sad Long Tracks
1869,Sky Light Night,Artist_166,EDM,Sleep,0.726,0.63,0.182,172.32,88976,28,4,Fast Short Tracks
1870,Dream Night,Artist_292,Rock,Chill,0.818,0.987,0.597,127.4,335155,32,3,Fast Danceable (High Tempo)
1871,Light Heart,Artist_212,Rock,Party,0.214,0.398,0.693,174.93,333687,77,1,Happy Long Tracks
1872,Sky Wave Heart,Artist_396,Hip-Hop,Sleep,0.506,0.332,0.468,175.44,182636,98,3,Fast Danceable (High Tempo)
1873,Light Heart,Artist_20,Classical,Sleep,0.841,0.624,0.098,104.4,89563,96,0,Chill Danceable (Slow Tempo)
1874,Love Dream,Artist_68,Bollywood,Party,0.733,0.826,0.469,60.61,176958,78,0,Chill Danceable (Slow Tempo)
1875,Heart Dance Beat,Artist_121,Classical,Travel,0.542,0.937,0.081,187.57,289188,96,3,Fast Danceable (High Tempo)
1876,Dream Night Fire,Artist_108,Pop,Romantic,0.59,0.803,0.682,166.5,202938,45,3,Fast Danceable (High Tempo)
1877,Light Fire,Artist_39,Jazz,Workout,0.508,0.427,0.79,75.02,266827,69,1,Happy Long Tracks
1878,Light Wave,Artist_417,Rock,Party,0.298,0.635,0.962,158.24,101787,99,4,Fast Short Tracks
1879,Beat Dance,Artist_168,Rock,Travel,0.565,0.856,0.149,62.8,320361,68,2,Sad Long Tracks
1880,Night Dream,Artist_416,Country,Focus,0.689,0.491,0.532,63.89,310054,78,1,Happy Long Tracks
1881,Dance Heart,Artist_318,Hip-Hop,Party,0.873,0.217,0.568,133.62,79511,18,0,Chill Danceable (Slow Tempo)
1882,Heart Dream Dance,Artist_465,Country,Romantic,0.636,0.17,0.922,73.45,280063,75,1,Happy Long Tracks
1883,Dream Sky Love,Artist_400,Indie,Sleep,0.761,0.0,0.627,195.01,307534,83,3,Fast Danceable (High Tempo)
1884,Fire Dream,Artist_458,Rock,Party,0.16,0.718,0.146,185.14,98344,2,4,Fast Short Tracks
1885,Fire Sky,Artist_320,Classical,Workout,0.462,0.111,0.436,150.97,204860,98,3,Fast Danceable (High Tempo)
1886,Fire Dream,Artist_265,Bollywood,Chill,0.009,0.244,0.655,68.92,102330,3,1,Happy Long Tracks
1887,Beat Night,Artist_370,EDM,Party,0.247,0.298,0.7,105.48,68133,29,4,Fast Short Tracks
1888,Love Dance,Artist_238,EDM,Chill,0.726,0.56,0.863,112.04,125747,87,0,Chill Danceable (Slow Tempo)
1889,Love Fire Night,Artist_485,Rock,Party,0.992,0.398,0.181,127.32,231854,48,3,Fast Danceable (High Tempo)
1890,Light Love,Artist_180,Rock,Travel,0.099,0.675,0.952,83.65,345548,65,1,Happy Long Tracks
1891,Night Sky Love,Artist_59,Hip-Hop,Sleep,0.401,0.056,0.059,140.85,193733,42,2,Sad Long Tracks
1892,Sky Love,Artist_236,Pop,Chill,0.8,0.124,0.984,121.01,118259,6,0,Chill Danceable (Slow Tempo)
1893,Night Fire,Artist_185,Jazz,Focus,0.204,0.499,0.858,192.62,217108,59,4,Fast Short Tracks
1894,Dream Heart,Artist_229,Jazz,Chill,0.555,0.337,0.66,191.07,203502,81,3,Fast Danceable (High Tempo)
1895,Night Dream,Artist_405,Pop,Chill,0.733,0.296,0.735,139.17,208549,19,3,Fast Danceable (High Tempo)
1896,Wave Heart Light,Artist_318,EDM,Party,0.616,0.067,0.073,150.21,225391,52,3,Fast Danceable (High Tempo)
1897,Light Fire,Artist_16,Bollywood,Chill,0.188,0.896,0.041,79.29,331669,61,2,Sad Long Tracks
1898,Night Love,Artist_102,Bollywood,Chill,0.355,0.692,0.102,91.27,134592,2,2,Sad Long Tracks
1899,Fire Sky,Artist_86,Bollywood,Workout,0.784,0.122,0.087,186.1,348006,79,3,Fast Danceable (High Tempo)
1900,Light Love,Artist_101,Classical,Travel,0.554,0.065,0.547,157.88,261225,23,3,Fast Danceable (High Tempo)
1901,Fire Light,Artist_8,Hip-Hop,Focus,0.005,0.975,0.215,86.52,183188,19,2,Sad Long Tracks
1902,Heart Dream Dance,Artist_420,Jazz,Travel,0.761,0.681,0.86,139.83,241629,97,3,Fast Danceable (High Tempo)
1903,Dream Heart,Artist_480,Classical,Party,0.035,0.417,0.446,190.87,65721,70,4,Fast Short Tracks
1904,Beat Fire Light,Artist_283,Jazz,Party,0.746,0.702,0.696,108.32,340529,50,1,Happy Long Tracks
1905,Night Heart Wave,Artist_270,Country,Romantic,0.202,0.756,0.653,86.01,151011,61,1,Happy Long Tracks
1906,Night Light Dream,Artist_276,Jazz,Focus,0.958,0.78,0.32,191.88,339635,19,3,Fast Danceable (High Tempo)
1907,Heart Sky Love,Artist_30,Indie,Focus,0.368,0.478,0.243,124.58,309065,94,2,Sad Long Tracks
1908,Heart Dance,Artist_407,EDM,Workout,0.327,0.43,0.342,118.41,81241,22,4,Fast Short Tracks
1909,Beat Sky,Artist_223,Classical,Sleep,0.149,0.011,0.797,97.46,149191,3,1,Happy Long Tracks
1910,Wave Sky Dance,Artist_443,Hip-Hop,Travel,0.306,0.927,0.586,184.82,97088,5,4,Fast Short Tracks
1911,Light Beat,Artist_2,Country,Chill,0.877,0.603,0.254,178.39,351094,94,3,Fast Danceable (High Tempo)
1912,Beat Fire Night,Artist_454,Country,Chill,0.996,0.203,0.818,116.42,219532,67,0,Chill Danceable (Slow Tempo)
1913,Heart Dream Love,Artist_310,Classical,Workout,0.368,0.92,0.055,64.29,234508,60,2,Sad Long Tracks
1914,Night Beat Dance,Artist_145,Bollywood,Chill,0.449,0.915,0.699,122.53,63856,39,4,Fast Short Tracks
1915,Night Dream,Artist_481,Jazz,Workout,0.722,0.989,0.439,85.32,233839,28,0,Chill Danceable (Slow Tempo)
1916,Beat Night Dream,Artist_35,Indie,Focus,0.886,0.874,0.731,79.98,229132,1,0,Chill Danceable (Slow Tempo)
1917,Heart Fire,Artist_239,Indie,Workout,0.593,0.998,0.927,115.03,179087,22,1,Happy Long Tracks
1918,Fire Beat Night,Artist_173,Jazz,Travel,0.392,0.245,0.75,73.87,340926,45,1,Happy Long Tracks
1919,Beat Dance,Artist_7,Classical,Chill,0.413,0.842,0.442,194.05,338512,51,3,Fast Danceable (High Tempo)
